stage,type,X,Y
0,start,0.00200000,0.00200000
1,horizontal,0.00360000,0.00200000
1,vertical,0.00360000,0.00330413
2,horizontal,0.00594743,0.00330413
2,vertical,0.00594743,0.00521749
3,horizontal,0.00939148,0.00521749
3,vertical,0.00939148,0.00802467
4,horizontal,0.01444440,0.00802467
4,vertical,0.01444440,0.01214324
5,horizontal,0.02185781,0.01214324
5,vertical,0.02185781,0.01818578
6,horizontal,0.03273438,0.01818578
6,vertical,0.03273438,0.02705111
7,horizontal,0.04869196,0.02705111
7,vertical,0.04869196,0.04005788
8,horizontal,0.07210412,0.04005788
8,vertical,0.07210412,0.05914076
