,气体进,气体出,吸收液进,吸收液出
总流量 (kmol/h),100.0032,96.1920,78.4046,82.2158
溶质流量 (kmol/h),4.0032,0.1920,0.1565,3.9677
惰性气体流量 (kmol/h),96.0000,96.0000,0.0000,0.0000
溶剂流量 (kmol/h),0.0000,0.0000,78.2481,78.2481
