stream,total_kmol_h,inert_kmol_h,solvent_kmol_h,solute_kmol_h,ratio
Gas_in,100.00320000,96.00000000,0.00000000,4.00320000,0.04170000
Gas_out,96.19200000,96.00000000,0.00000000,0.19200000,0.00200000
Liq_in,78.40457580,0.00000000,78.24807964,0.15649616,0.00200000
Liq_out,82.21577580,0.00000000,78.24807964,3.96769616,0.05070663
