stage,x_theory,y_theory,section,x_real,y_real,x_theory_ref,y_theory_ref
1,0.7525,0.8446874999999999,rectifying,0.7525,0.8446874999999999,0.7525,0.8446874999999999
2,0.6215277777777777,0.7955729166666666,rectifying,0.6215277777777777,0.7955729166666666,0.6215277777777777,0.7955729166666666
3,0.5131458333333332,0.7549296874999999,rectifying,0.5131458333333332,0.7549296874999999,0.5131458333333332,0.7549296874999999
4,0.4325994318181816,0.6686257102272724,stripping,0.4325994318181816,0.6686257102272724,0.4325994318181816,0.6686257102272724
5,0.2957821377840904,0.4553945019720132,stripping,0.2957821377840904,0.4553945019720132,0.2957821377840904,0.4553945019720132
6,0.11637833427238722,0.17579176564792265,stripping,0.11637833427238722,0.17579176564792265,0.11637833427238722,0.17579176564792265
7,0.02815835312958453,0.03829998652642695,stripping,0.02815835312958453,0.03829998652642695,0.02815835312958453,0.03829998652642695
8,0.005674072077989178,0.0032579953130363274,stripping,0.005674072077989178,0.0032579953130363274,0.005674072077989178,0.0032579953130363274
