stage,x_theory,y_theory,section,x_real,y_real,x_theory_ref,y_theory_ref
1,0.9920794750402527,0.9961951440436194,rectifying,0.9920794750402527,0.9961951440436194,0.9920794750402527,0.9961951440436194
2,0.9849692630061766,0.9940276152133078,rectifying,0.9849692630061766,0.9940276152133078,0.9849692630061766,0.9940276152133078
3,0.976525070937623,0.9914534261920015,rectifying,0.976525070937623,0.9914534261920015,0.976525070937623,0.9914534261920015
4,0.9666617048743275,0.9884466058322641,rectifying,0.9666617048743275,0.9884466058322641,0.9666617048743275,0.9884466058322641
5,0.9553364599061582,0.9849941356582099,rectifying,0.9553364599061582,0.9849941356582099,0.9553364599061582,0.9849941356582099
6,0.9425631675947354,0.9734834853574096,stripping,0.9425631675947354,0.9734834853574096,0.9425631675947354,0.9734834853574096
7,0.9017497780089725,0.9312562317217058,stripping,0.9017497780089725,0.9312562317217058,0.9017497780089725,0.9312562317217058
8,0.7720378544942578,0.7970508067515246,stripping,0.7720378544942578,0.7970508067515246,0.7720378544942578,0.7970508067515246
9,0.4954172149415798,0.5108474302170687,stripping,0.4954172149415798,0.5108474302170687,0.4954172149415798,0.5108474302170687
10,0.20703389842576886,0.21247389215968115,stripping,0.20703389842576886,0.21247389215968115,0.20703389842576886,0.21247389215968115
11,0.06318714870750211,0.06364398004809889,stripping,0.06318714870750211,0.06364398004809889,0.06318714870750211,0.06364398004809889
12,0.01674292189873488,0.01559082481464806,stripping,0.01674292189873488,0.01559082481464806,0.01674292189873488,0.01559082481464806
