精馏塔,进料,塔顶采出,塔釜采出
总流量 (kmol/h),83.97,79.98,3.99
甲醇流量 (kmol/h),80.02,79.82,0.20
CO₂流量 (kmol/h),0.00,0.00,0.00
水流量 (kmol/h),3.95,0.16,3.79
