,气体进,气体出,吸收液进,吸收液出
总流量 (kmol/h),100.0000,96.1920,80.1600,83.9680
溶质流量 (kmol/h),4.0000,0.1920,0.1600,3.9680
惰性气体流量 (kmol/h),96.0000,96.0000,0.0000,0.0000
溶剂流量 (kmol/h),0.0000,0.0000,80.0000,80.0000

0.998
