stage,x_theory,y_theory,section,x_real,y_real,x_theory_ref,y_theory_ref
1,0.8075,0.8075114488551145,rectifying,0.84185,0.8418580141985801,0.8075,0.8075114488551145
2,0.5389143307891433,0.5389526355255908,rectifying,0.6297950315524004,0.6298242491274876,0.5389143307891433,0.5389526355255908
3,0.16737232261154872,0.1673864163147262,stripping,0.3060991352938042,0.30612658653948577,0.16737232261154872,0.1673864163147262
4,0.02647728326294524,0.02647781065229829,stripping,0.11036383887220294,0.11037244341845455,0.02647728326294524,0.02647781065229829
5,0.003922638615155302,0.003920994292935645,stripping,0.0358549986922696,0.03585642903059132,0.003922638615155302,0.003920994292935645
6,0.0005808880433978733,0.0005789219551516121,stripping,0.01116312123805939,0.011162174077783523,0.0005808880433978733,0.0005789219551516121
