stream,total_kmol_h,inert_kmol_h,solvent_kmol_h,solute_kmol_h,ratio
Gas_in,104.00000000,100.00000000,0.00000000,4.00000000,0.04000000
Gas_out,100.20000000,100.00000000,0.00000000,0.20000000,0.00200000
Liq_in,60.12000000,0.00000000,60.00000000,0.12000000,0.00200000
Liq_out,63.92000000,0.00000000,60.00000000,3.92000000,0.06533333
